"Family","SR","Order"
"Abrocomidae",10,"Rodentia"
"Acrobatidae",2,"Diprotodontia"
"Ailuridae",1,"Carnivora"
"Anomaluridae",7,"Rodentia"
"Antilocapridae",1,"Artiodactyla"
"Aotidae",11,"Primates"
"Aplodontiidae",1,"Rodentia"
"Atelidae",25,"Primates"
"Balaenidae",4,"Cetacea"
"Balaenopteridae",8,"Cetacea"
"Bathyergidae",21,"Rodentia"
"Bovidae",135,"Artiodactyla"
"Bradypodidae",4,"Pilosa"
"Burramyidae",5,"Diprotodontia"
"Caenolestidae",7,"Paucituberculata"
"Callitrichidae",51,"Primates"
"Calomyscidae",8,"Rodentia"
"Camelidae",3,"Artiodactyla"
"Canidae",38,"Carnivora"
"Capromyidae",10,"Rodentia"
"Castoridae",2,"Rodentia"
"Caviidae",20,"Rodentia"
"Cebidae",27,"Primates"
"Cercopithecidae",150,"Primates"
"Cervidae",55,"Artiodactyla"
"Cheirogaleidae",40,"Primates"
"Chinchillidae",6,"Rodentia"
"Chlamyphoridae",13,"Cingulata"
"Chrysochloridae",21,"Afrosoricida"
"Cistugidae",2,"Chiroptera"
"Craseonycteridae",1,"Chiroptera"
"Cricetidae",698,"Rodentia"
"Ctenodactylidae",5,"Rodentia"
"Ctenomyidae",59,"Rodentia"
"Cuniculidae",2,"Rodentia"
"Cyclopedidae",1,"Pilosa"
"Cynocephalidae",2,"Dermoptera"
"Dasypodidae",7,"Cingulata"
"Dasyproctidae",15,"Rodentia"
"Dasyuridae",70,"Dasyuromorphia"
"Daubentoniidae",1,"Primates"
"Delphinidae",38,"Cetacea"
"Diatomyidae",1,"Rodentia"
"Didelphidae",97,"Didelphimorphia"
"Dinomyidae",1,"Rodentia"
"Dipodidae",54,"Rodentia"
"Dugongidae",2,"Sirenia"
"Echimyidae",85,"Rodentia"
"Elephantidae",2,"Proboscidea"
"Emballonuridae",54,"Chiroptera"
"Equidae",7,"Perissodactyla"
"Erethizontidae",17,"Rodentia"
"Erinaceidae",24,"Eulipotyphla"
"Eschrichtiidae",1,"Cetacea"
"Eupleridae",9,"Carnivora"
"Felidae",38,"Carnivora"
"Furipteridae",2,"Chiroptera"
"Galagidae",19,"Primates"
"Geomyidae",36,"Rodentia"
"Giraffidae",2,"Artiodactyla"
"Gliridae",29,"Rodentia"
"Herpestidae",35,"Carnivora"
"Heteromyidae",63,"Rodentia"
"Hippopotamidae",2,"Artiodactyla"
"Hipposideridae",94,"Chiroptera"
"Hominidae",7,"Primates"
"Hyaenidae",4,"Carnivora"
"Hylobatidae",20,"Primates"
"Hypsiprymnodontidae",1,"Diprotodontia"
"Hystricidae",11,"Rodentia"
"Indriidae",19,"Primates"
"Iniidae",1,"Cetacea"
"Kogiidae",2,"Cetacea"
"Lemuridae",21,"Primates"
"Lepilemuridae",26,"Primates"
"Leporidae",64,"Lagomorpha"
"Lipotidae",1,"Cetacea"
"Lorisidae",16,"Primates"
"Macropodidae",63,"Diprotodontia"
"Macroscelididae",19,"Macroscelidea"
"Manidae",8,"Pholidota"
"Megadermatidae",6,"Chiroptera"
"Megalonychidae",2,"Pilosa"
"Mephitidae",12,"Carnivora"
"Microbiotheriidae",1,"Microbiotheria"
"Miniopteridae",30,"Chiroptera"
"Molossidae",119,"Chiroptera"
"Monodontidae",2,"Cetacea"
"Mormoopidae",11,"Chiroptera"
"Moschidae",7,"Artiodactyla"
"Muridae",772,"Rodentia"
"Mustelidae",63,"Carnivora"
"Myocastoridae",1,"Rodentia"
"Myrmecobiidae",1,"Dasyuromorphia"
"Myrmecophagidae",3,"Pilosa"
"Mystacinidae",2,"Chiroptera"
"Myzopodidae",2,"Chiroptera"
"Nandiniidae",1,"Carnivora"
"Natalidae",11,"Chiroptera"
"Neobalaenidae",1,"Cetacea"
"Nesomyidae",64,"Rodentia"
"Noctilionidae",2,"Chiroptera"
"Notoryctidae",2,"Notoryctemorphia"
"Nycteridae",16,"Chiroptera"
"Ochotonidae",29,"Lagomorpha"
"Octodontidae",14,"Rodentia"
"Odobenidae",1,"Carnivora"
"Ornithorhynchidae",1,"Monotremata"
"Orycteropodidae",1,"Tubulidentata"
"Otariidae",15,"Carnivora"
"Pedetidae",2,"Rodentia"
"Peramelidae",18,"Peramelemorphia"
"Petauridae",11,"Diprotodontia"
"Petromuridae",1,"Rodentia"
"Phalangeridae",26,"Diprotodontia"
"Phascolarctidae",1,"Diprotodontia"
"Phocidae",18,"Carnivora"
"Phocoenidae",7,"Cetacea"
"Phyllostomidae",205,"Chiroptera"
"Physeteridae",1,"Cetacea"
"Pitheciidae",61,"Primates"
"Platacanthomyidae",2,"Rodentia"
"Platanistidae",1,"Cetacea"
"Pontoporiidae",1,"Cetacea"
"Potoroidae",8,"Diprotodontia"
"Prionodontidae",2,"Carnivora"
"Procaviidae",5,"Hyracoidea"
"Procyonidae",14,"Carnivora"
"Pseudocheiridae",18,"Diprotodontia"
"Pteropodidae",191,"Chiroptera"
"Ptilocercidae",1,"Scandentia"
"Rhinocerotidae",5,"Perissodactyla"
"Rhinolophidae",91,"Chiroptera"
"Rhinopomatidae",6,"Chiroptera"
"Sciuridae",285,"Rodentia"
"Solenodontidae",2,"Eulipotyphla"
"Soricidae",418,"Eulipotyphla"
"Spalacidae",23,"Rodentia"
"Suidae",18,"Artiodactyla"
"Tachyglossidae",4,"Monotremata"
"Talpidae",42,"Eulipotyphla"
"Tapiridae",4,"Perissodactyla"
"Tarsiidae",14,"Primates"
"Tarsipedidae",1,"Diprotodontia"
"Tayassuidae",3,"Artiodactyla"
"Tenrecidae",34,"Afrosoricida"
"Thryonomyidae",2,"Rodentia"
"Thylacomyidae",1,"Peramelemorphia"
"Thyropteridae",5,"Chiroptera"
"Tragulidae",10,"Artiodactyla"
"Trichechidae",3,"Sirenia"
"Tupaiidae",22,"Scandentia"
"Ursidae",8,"Carnivora"
"Vespertilionidae",449,"Chiroptera"
"Viverridae",33,"Carnivora"
"Vombatidae",3,"Diprotodontia"
"Ziphiidae",17,"Cetacea"
